date,value
1990-11-01,745.85
1990-12-01,776.38
1991-01-01,855.32
1991-02-01,934.29
1991-03-01,993.06
1991-04-01,996.58
1991-05-01,1037.53
1991-06-01,972.78
1991-07-01,1024.66
1991-08-01,1069.76
1991-09-01,1067.46
1991-10-01,1098.45
1991-11-01,1056.71
1991-12-01,1182.06
1992-01-01,1248.48
1992-02-01,1270.11
1992-03-01,1204.52
1992-04-01,1152.73
1992-05-01,1164.77
1992-06-01,1117.62
1992-07-01,1148.88
1992-08-01,1111.04
1992-09-01,1147.29
1992-10-01,1186.13
1992-11-01,1277.39
1992-12-01,1326.15
1993-01-01,1357.17
1993-02-01,1302.64
1993-03-01,1336.09
1993-04-01,1276.54
1993-05-01,1350.62
1993-06-01,1355.1
1993-07-01,1356.55
1993-08-01,1426.25
1993-09-01,1461.49
1993-10-01,1486.83
1993-11-01,1437.87
1993-12-01,1480.58
1994-01-01,1521.69
1994-02-01,1501.79
1994-03-01,1403.65
1994-04-01,1384.02
1994-05-01,1385.1
1994-06-01,1325.79
1994-07-01,1352.61
1994-08-01,1427.88
1994-09-01,1421.58
1994-10-01,1445.35
1994-11-01,1393.34
1994-12-01,1396.39
1995-01-01,1396.36
1995-02-01,1462.05
1995-03-01,1500.4
1995-04-01,1544.48
1995-05-01,1578.72
1995-06-01,1701.68
1995-07-01,1825.21
1995-08-01,1854.56
1995-09-01,1892.98
1995-10-01,1873.2
1995-11-01,1917.15
1995-12-01,1905.41
1996-01-01,1907.62
1996-02-01,1973.49
1996-03-01,1966
1996-04-01,2116.74
1996-05-01,2207.09
1996-06-01,2102.23
1996-07-01,1912.64
1996-08-01,2017.03
1996-09-01,2160.61
1996-10-01,2144.97
1996-11-01,2265.95
1996-12-01,2263.18
1997-01-01,2410.6
1997-02-01,2280.28
1997-03-01,2122.09
1997-04-01,2187.42
1997-05-01,2430.96
1997-06-01,2500.55
1997-07-01,2760.48
1997-08-01,2744.48
1997-09-01,2906.13
1997-10-01,2741.01
1997-11-01,2754.55
1997-12-01,2705.71
1998-01-01,2785.3
1998-02-01,3039.97
1998-03-01,3146.36
1998-04-01,3194.98
1998-05-01,3036.53
1998-06-01,3230.53
1998-07-01,3188.68
1998-08-01,2550.22
1998-09-01,2877.83
1998-10-01,3002.51
1998-11-01,3304.47
1998-12-01,3718.8
1999-01-01,4239.97
1999-02-01,3866.77
1999-03-01,4147.46
1999-04-01,4251.66
1999-05-01,4130.71
1999-06-01,4491.19
1999-07-01,4398.36
1999-08-01,4555.54
1999-09-01,4544.89
1999-10-01,4900.54
1999-11-01,5511.34
1999-12-01,6722.5
2000-01-01,6489.76
2000-02-01,7688.48
2000-03-01,7426.28
2000-04-01,6265.85
2000-05-01,5512.88
2000-06-01,6393.37
2000-07-01,6057.32
2000-08-01,6763.81
2000-09-01,5876.51
2000-10-01,5381.3
2000-11-01,4146.3
2000-12-01,3945.42
2001-01-01,4400.32
2001-02-01,3402.04
2001-03-01,2902.09
2001-04-01,3324.61
2001-05-01,3300.81
2001-06-01,3374.76
2001-07-01,3174.49
2001-08-01,2827.3
2001-09-01,2336.63
2001-10-01,2643.47
2001-11-01,3025.22
2001-12-01,3067.98
2002-01-01,3034.49
2002-02-01,2706.32
2002-03-01,2869.52
2002-04-01,2610
2002-05-01,2497.92
2002-06-01,2260.66
2002-07-01,2049.51
2002-08-01,2022.24
2002-09-01,1800.28
2002-10-01,2038.51
2002-11-01,2266.97
2002-12-01,2051.34
2003-01-01,2020.99
2003-02-01,2030.36
2003-03-01,2023.83
2003-04-01,2214.04
2003-05-01,2417.8
2003-06-01,2455.3
2003-07-01,2621.62
2003-08-01,2726.54
2003-09-01,2682.2
2003-10-01,2902.18
2003-11-01,2952.15
2003-12-01,3021.08
2004-01-01,3101.29
2004-02-01,3030.52
2004-03-01,2957.43
2004-04-01,2837.98
2004-05-01,2920.51
2004-06-01,3000.01
2004-07-01,2770.64
2004-08-01,2696.49
2004-09-01,2776.97
2004-10-01,2875.59
2004-11-01,3050.86
2004-12-01,3178.32
2005-01-01,3006.99
2005-02-01,2972.94
2005-03-01,2874.89
2005-04-01,2744.12
2005-05-01,2957.55
2005-06-01,2939.4
2005-07-01,3106.83
2005-08-01,3045.21
2005-09-01,3008.06
2005-10-01,2957.82
2005-11-01,3141.58
2005-12-01,3113.91
2006-01-01,3232.76
2006-02-01,3191.66
2006-03-01,3254.65
2006-04-01,3202.82
2006-05-01,2991.6
2006-06-01,2975.76
2006-07-01,2856.95
2006-08-01,2976.45
2006-09-01,3094.05
2006-10-01,3258.96
2006-11-01,3353.41
2006-12-01,3325.85
2007-01-01,3382.98
2007-02-01,3300.46
2007-03-01,3278.9
2007-04-01,3396.25
2007-05-01,3482.24
2007-06-01,3472.71
2007-07-01,3396.72
2007-08-01,3471.33
2007-09-01,3601.1
2007-10-01,3802.63
2007-11-01,3517.79
2007-12-01,3508.97
2008-01-01,3147.45
2008-02-01,2982.45
2008-03-01,2967.39
2008-04-01,3122.16
2008-05-01,3236.57
2008-06-01,2912.08
2008-07-01,2939.5
2008-08-01,3004.38
2008-09-01,2656.69
2008-10-01,2207.98
2008-11-01,2008.53
2008-12-01,2084.83
2009-01-01,1942.97
2009-02-01,1804.97
2009-03-01,1997.87
2009-04-01,2237.64
2009-05-01,2306.63
2009-06-01,2365.37
2009-07-01,2554.24
2009-08-01,2587.67
2009-09-01,2731.55
2009-10-01,2630.01
2009-11-01,2755.81
2009-12-01,2920.4
2010-01-01,2755.05
2010-02-01,2869.45
2010-03-01,3062.19
2010-04-01,3138.02
2010-05-01,2875.47
2010-06-01,2689.28
2010-07-01,2874.74
2010-08-01,2691.16
2010-09-01,3012.88
2010-10-01,3186.92
2010-11-01,3172.75
2010-12-01,3363.84
2011-01-01,3407.5
2011-02-01,3494.53
2011-03-01,3459.65
2011-04-01,3551.7
2011-05-01,3487.42
2011-06-01,3414.2
2011-07-01,3390.35
2011-08-01,3165
2011-09-01,2958.87
2011-10-01,3296.46
2011-11-01,3220.4
2011-12-01,3209.54
2012-01-01,3449.77
2012-02-01,3622.57
2012-03-01,3746.98
2012-04-01,3680
2012-05-01,3418.25
2012-06-01,3554.35
2012-07-01,3565.64
2012-08-01,3698.75
2012-09-01,3742.59
2012-10-01,3578.63
2012-11-01,3633.36
2012-12-01,3656.63
2013-01-01,3792.55
2013-02-01,3782.75
2013-03-01,3901.42
2013-04-01,3977.9
2013-05-01,4122.9
2013-06-01,4049.87
2013-07-01,4315.38
2013-08-01,4264.77
2013-09-01,4476.75
2013-10-01,4664.45
2013-11-01,4843.45
2013-12-01,4982.67
2014-01-01,4875.41
2014-02-01,5100.81
2014-03-01,4938.01
2014-04-01,4822.26
2014-05-01,4955.38
2014-06-01,5139.94
2014-07-01,5099.52
2014-08-01,5354.34
2014-09-01,5248.28
2014-10-01,5422.6
2014-11-01,5639.75
2014-12-01,5607.48
2015-01-01,5511.3
2015-02-01,5876.82
2015-03-01,5768.34
2015-04-01,5806.17
2015-05-01,5926.87
2015-06-01,5809.7
2015-07-01,5974.45
2015-08-01,5569.41
2015-09-01,5396.35
2015-10-01,5907.83
2015-11-01,5982.25
2015-12-01,5883.71
2016-01-01,5412.16
2016-02-01,5341.92
2016-03-01,5683.11
2016-04-01,5548.97
2016-05-01,5724.89
2016-06-01,5583.6
2016-07-01,5962.26
2016-08-01,6016.06
2016-09-01,6114.11
2016-10-01,5967.5
2016-11-01,6132.88
2016-12-01,6195.97
2017-01-01,6428.93
2017-02-01,6646.83
2017-03-01,6739.38
2017-04-01,6876.13
2017-05-01,7041.52
2017-06-01,6969.38
2017-07-01,7205.12
2017-08-01,7277.24
2017-09-01,7314.45
2017-10-01,7582.08
2017-11-01,7746.96
2017-12-01,7780.12
2018-01-01,8308.27
2018-02-01,8116.68
2018-03-01,7868.67
2018-04-01,7836.49
2018-05-01,8223.54
2018-06-01,8283.86
2018-07-01,8461.98
2018-08-01,8936.71
2018-09-01,8859.03
2018-10-01,8029.18
2018-11-01,8085.59
2018-12-01,7338.62
2019-01-01,8039.04
2019-02-01,8285.78
2019-03-01,8448.15
2019-04-01,8807.78
2019-05-01,8086.67
2019-06-01,8686.77
2019-07-01,8853.98
2019-08-01,8623.8
2019-09-01,8663.29
2019-10-01,8955.75
2019-11-01,9367.38
2019-12-01,9708.36
2020-01-01,9855.56
2020-02-01,9201.35
2020-03-01,8293.01
2020-04-01,9636.27
2020-05-01,10287.02
2020-06-01,10843.35
2020-07-01,11529.68
2020-08-01,12587.96
2020-09-01,11926.9
2020-10-01,11642.67
2020-11-01,13028.25
2020-12-01,13751.79
2021-01-01,13894.14
2021-02-01,13944.31
2021-03-01,13895.97
2021-04-01,14535.15
2021-05-01,14202.45
2021-06-01,14837.54
2021-07-01,14936.79
2021-08-01,15503.39
2021-09-01,14636.41
2021-10-01,15575.88
2021-11-01,15537.69
2021-12-01,15644.97
2022-01-01,15080.86
